~from,~to,rssi,timestamp
WB2,WB1,-28,1501566
WB1,WB2,-20,1703730
WB5,WB2,-23,1795962
WB5,WB1,-30,1627231
WB3,WB1,-48,1531983
WB3,WB2,-51,1698699
WB4,WB2,-66,1681727
WB2,WB1,-18,1715630
WB1,WB2,-19,1793764
WB5,WB2,-23,1728469
WB3,WB2,-50,1569943
WB4,WB1,-34,1644812
WB1,WB2,-19,1563642
WB5,WB1,-31,1515048
WB5,WB2,-23,1621189
WB3,WB2,-48,1730893
WB2,WB1,-27,1571408
WB1,WB2,-18,1599293
WB5,WB2,-23,1563464
WB3,WB1,-49,1687343
WB3,WB2,-52,1612151
WB2,WB1,-17,1773334
WB1,WB2,-18,1675008
WB5,WB1,-30,1662665
WB5,WB2,-23,1728774
WB3,WB1,-48,1535881
WB4,WB1,-41,1618192
WB4,WB2,-49,1603494
WB2,WB1,-18,1641196
WB1,WB2,-18,1503429
WB5,WB2,-23,1721936
WB5,WB1,-30,1781780
WB3,WB1,-48,1603830
WB4,WB2,-64,1637440
WB2,WB1,-16,1771995
WB1,WB2,-18,1619475
WB5,WB2,-23,1549203
WB5,WB1,-30,1500605
WB3,WB1,-49,1606848
WB4,WB1,-36,1683931
WB2,WB1,-28,1664918
WB1,WB2,-18,1583576
WB5,WB2,-23,1746818
WB5,WB1,-31,1543177
WB3,WB2,-51,1576146
WB4,WB1,-46,1593506
WB1,WB2,-18,1703508
WB3,WB1,-49,1700386
WB3,WB2,-52,1599635
WB4,WB1,-35,1554345
WB4,WB2,-53,1526323
WB2,WB1,-28,1556412
WB5,WB1,-29,1620828
WB5,WB2,-23,1689119
WB3,WB1,-48,1641118
WB3,WB2,-51,1756789
WB4,WB1,-43,1616528
WB2,WB1,-17,1790903
WB1,WB2,-18,1667461
WB5,WB2,-23,1576918
WB5,WB1,-30,1652563
WB4,WB2,-61,1586435
WB2,WB1,-16,1542002
WB5,WB2,-23,1787793
WB3,WB1,-48,1609815
WB4,WB1,-36,1726497
WB4,WB2,-61,1733997
WB1,WB2,-18,1662379
WB3,WB1,-49,1797065
WB3,WB2,-52,1700164
WB4,WB1,-33,1780490
WB2,WB1,-18,1509855
WB5,WB1,-30,1618540
WB5,WB2,-22,1744231
WB3,WB1,-49,1514078
WB2,WB1,-18,1675326
WB1,WB2,-18,1622455
WB5,WB2,-23,1651533
WB5,WB1,-30,1618195
WB3,WB2,-52,1615506
WB3,WB1,-48,1750451
WB4,WB1,-35,1778175
WB2,WB1,-16,1604480
WB5,WB2,-23,1581129
WB5,WB1,-30,1696911
WB3,WB2,-49,1586691
WB3,WB1,-48,1628582
WB2,WB1,-27,1569887
WB1,WB2,-18,1501608
WB5,WB2,-25,1734822
WB5,WB1,-30,1640561
WB3,WB2,-51,1513837
WB3,WB1,-48,1719097
WB4,WB1,-34,1768799
WB2,WB1,-18,1627461
WB1,WB2,-20,1720542
WB5,WB1,-30,1742464
WB5,WB2,-25,1646882
WB3,WB2,-57,1589359
WB3,WB1,-50,1751731
WB4,WB1,-36,1685296
WB2,WB1,-18,1728868
WB1,WB2,-20,1611032
WB5,WB2,-23,1717056
WB3,WB2,-54,1557973
WB3,WB1,-47,1692408
WB4,WB1,-36,1697241
WB4,WB2,-59,1630714
WB2,WB1,-18,1693651
WB1,WB2,-18,1659653
WB5,WB2,-23,1698513
WB5,WB1,-31,1513138
WB4,WB1,-34,1687409
WB2,WB1,-17,1514581
WB1,WB2,-18,1565046
WB5,WB2,-25,1507675
WB3,WB1,-47,1625367
WB3,WB2,-54,1576586
WB4,WB1,-34,1759508
WB5,WB2,-23,1533852
WB3,WB1,-48,1535789
WB4,WB2,-59,1554643
WB4,WB1,-45,1774737
WB2,WB1,-16,1661628
WB5,WB2,-23,1708559
WB5,WB1,-31,1531957
WB3,WB2,-57,1659280
WB3,WB1,-52,1617041
WB4,WB1,-44,1771690
WB4,WB2,-65,1710052
WB2,WB1,-17,1633302
WB1,WB2,-20,1664898
WB5,WB1,-31,1639824
WB5,WB2,-23,1756135
WB3,WB1,-53,1731316
WB4,WB2,-63,1775613
WB4,WB1,-34,1623312
WB2,WB1,-16,1712975
WB1,WB2,-20,1530482
WB3,WB2,-56,1722538
WB4,WB1,-35,1516940
WB2,WB1,-16,1799576
WB1,WB2,-18,1618044
WB3,WB2,-57,1562759
WB4,WB1,-35,1664030
WB2,WB1,-17,1553709
WB3,WB1,-52,1651850
WB3,WB2,-57,1695246
WB4,WB1,-42,1621874
WB2,WB1,-18,1564271
WB5,WB1,-30,1787269
WB5,WB2,-23,1691693
WB3,WB1,-53,1627352
WB4,WB1,-36,1766565
WB2,WB1,-18,1791041
WB1,WB2,-18,1729718
WB5,WB2,-25,1741898
WB3,WB1,-52,1558503
WB3,WB2,-54,1716710
WB4,WB1,-43,1544161
WB2,WB1,-16,1732325
WB1,WB2,-20,1795065
WB5,WB2,-23,1678197
WB3,WB2,-57,1577362
WB3,WB1,-52,1692453
WB4,WB1,-34,1555309
WB4,WB2,-48,1547011
WB2,WB1,-17,1698459
WB1,WB2,-18,1691117
WB5,WB1,-30,1654478
WB5,WB2,-23,1512076
WB3,WB2,-58,1559898
WB3,WB1,-52,1618054
WB4,WB1,-44,1756750
WB4,WB2,-64,1658192
WB5,WB1,-31,1736364
WB5,WB2,-23,1524655
WB3,WB1,-50,1612618
WB3,WB2,-54,1758034
WB4,WB1,-37,1768855
WB2,WB1,-16,1544947
WB1,WB2,-19,1764900
WB5,WB1,-30,1637438
WB5,WB2,-23,1635993
WB3,WB1,-52,1593275
WB4,WB1,-42,1652151
WB2,WB1,-28,1561190
WB1,WB2,-20,1712451
WB5,WB2,-23,1615885
WB5,WB1,-30,1738255
WB3,WB2,-56,1597410
WB3,WB1,-53,1719766
WB4,WB2,-50,1557294
WB1,WB2,-18,1530332
WB5,WB2,-23,1517204
WB5,WB1,-31,1786857
WB3,WB1,-51,1699360
WB3,WB2,-55,1736634
WB4,WB1,-34,1602029
WB2,WB1,-28,1793711
WB1,WB2,-20,1711188
WB3,WB2,-56,1687860
WB3,WB1,-52,1767151
WB4,WB1,-42,1723566
WB2,WB1,-27,1730047
WB1,WB2,-20,1669660
WB5,WB2,-23,1719332
WB5,WB1,-30,1794591
WB3,WB2,-54,1503053
WB3,WB1,-52,1549201
WB4,WB1,-44,1646904
WB4,WB2,-60,1643998
WB2,WB1,-28,1663495
WB1,WB2,-18,1738078
WB5,WB1,-31,1542797
WB5,WB2,-25,1602340
WB3,WB2,-55,1554556
WB3,WB1,-49,1739142
WB4,WB1,-43,1551547
WB2,WB1,-16,1501078
WB1,WB2,-18,1575162
WB5,WB2,-25,1583972
WB5,WB1,-30,1734753
WB4,WB1,-34,1588758
WB1,WB2,-20,1702503
WB5,WB1,-30,1781980
WB5,WB2,-23,1536964
WB3,WB2,-53,1653677
WB3,WB1,-49,1757488
WB4,WB1,-43,1679681
WB2,WB1,-16,1651918
WB5,WB2,-23,1739740
WB5,WB1,-30,1633588
WB3,WB2,-52,1798039
WB3,WB1,-48,1523751
WB4,WB2,-57,1636347
WB4,WB1,-43,1675204
WB2,WB1,-28,1716074
WB1,WB2,-19,1781867
WB5,WB2,-25,1657142
WB4,WB2,-55,1564090
WB2,WB1,-18,1780364
WB1,WB2,-18,1791094
WB5,WB1,-30,1748230
WB5,WB2,-25,1670708
WB3,WB2,-53,1679252
WB3,WB1,-48,1540484
WB4,WB2,-54,1507072
WB2,WB1,-18,1771536
WB1,WB2,-20,1618843
WB5,WB2,-23,1673453
WB5,WB1,-30,1560548
WB3,WB1,-48,1791211
WB4,WB2,-55,1703288
WB4,WB1,-36,1577962
WB5,WB1,-30,1711949
WB5,WB2,-24,1635190
WB3,WB1,-48,1622761
WB3,WB2,-53,1717975
WB4,WB1,-43,1666614
WB4,WB2,-49,1742361
WB2,WB1,-16,1694192
WB5,WB1,-30,1699053
WB5,WB2,-25,1638152
WB3,WB1,-48,1677706
WB3,WB2,-52,1647147
WB2,WB1,-16,1772323
WB5,WB2,-25,1503405
WB3,WB2,-52,1511834
WB3,WB1,-48,1506951
WB4,WB1,-34,1738096
WB1,WB2,-18,1506196
WB5,WB2,-23,1754317
WB5,WB1,-29,1622200
WB3,WB1,-48,1576262
WB3,WB2,-53,1663593
WB4,WB1,-36,1731745
WB2,WB1,-17,1560135
WB1,WB2,-19,1555846
WB5,WB1,-30,1737600
WB5,WB2,-23,1585712
WB3,WB2,-53,1528045
WB3,WB1,-49,1514736
WB4,WB2,-58,1582719
WB4,WB1,-44,1643316
WB2,WB1,-17,1704361
WB1,WB2,-20,1771036
WB5,WB2,-23,1713720
WB5,WB1,-29,1594891
WB3,WB1,-49,1681261
WB4,WB2,-56,1554858
WB2,WB1,-16,1502290
WB1,WB2,-19,1770777
WB5,WB1,-29,1503027
WB5,WB2,-25,1713297
WB3,WB1,-48,1607519
WB3,WB2,-54,1778707
WB4,WB1,-54,1746127
WB2,WB1,-22,1584531
WB1,WB2,-24,1555892
WB5,WB1,-31,1777937
WB5,WB2,-23,1714199
WB3,WB2,-54,1798918
WB4,WB2,-60,1542651
WB4,WB1,-59,1669920
WB2,WB1,-29,1713944
WB5,WB2,-22,1708824
WB5,WB1,-28,1525486
WB3,WB2,-57,1659878
WB3,WB1,-55,1708972
WB1,WB2,-18,1523161
WB2,WB1,-17,1669978
WB5,WB2,-24,1710716
WB5,WB1,-29,1738372
