source,destination,rssi,timestamp
WB3,WB2,-48,377454
WB2,WB1,-27,280753
WB1,WB2,-18,240311
WB5,WB2,-23,288409
WB3,WB1,-49,385466
WB3,WB2,-52,385466
WB2,WB1,-17,288764
WB1,WB2,-18,248321
WB5,WB1,-30,296420
WB5,WB2,-23,296420
WB3,WB1,-48,393477
WB4,WB1,-41,408588
WB4,WB2,-49,408588
WB2,WB1,-18,296775
WB1,WB2,-18,256333
WB5,WB2,-23,304431
WB5,WB1,-30,304431
WB3,WB1,-48,401488
WB4,WB2,-64,416598
WB2,WB1,-16,304785
WB1,WB2,-18,264344
WB5,WB2,-23,312442
WB5,WB1,-30,312442
WB3,WB1,-49,409499
WB4,WB1,-36,424609
WB2,WB1,-28,312797
WB1,WB2,-18,272355
WB5,WB2,-23,320454
WB5,WB1,-31,320454
WB3,WB2,-51,417512
WB4,WB1,-46,432621
WB1,WB2,-18,280366
WB3,WB1,-49,425524
WB3,WB2,-52,425524
WB4,WB1,-35,440633
WB4,WB2,-53,440633
WB2,WB1,-28,328820
WB5,WB1,-29,336477
WB5,WB2,-23,336477
WB3,WB1,-48,433535
WB3,WB2,-51,433535
WB4,WB1,-43,448645
WB2,WB1,-17,336831
WB1,WB2,-18,296387
WB5,WB2,-23,344488
WB5,WB1,-30,344488
WB4,WB2,-61,456656
WB2,WB1,-16,344841
WB5,WB2,-23,352500
WB3,WB1,-48,449555
WB4,WB1,-36,464668
WB4,WB2,-61,464668
WB1,WB2,-18,312408
WB3,WB1,-49,457567
WB3,WB2,-52,457567
WB4,WB1,-33,472679
WB2,WB1,-18,360862
WB5,WB1,-30,368521
WB5,WB2,-22,368521
WB3,WB1,-49,465577
WB2,WB1,-18,368871
WB1,WB2,-18,328426
WB5,WB2,-23,376532
WB5,WB1,-30,376532
WB3,WB2,-52,473589
WB3,WB1,-48,473589
WB4,WB1,-35,488700
WB2,WB1,-16,376881
WB5,WB2,-23,384543
WB5,WB1,-30,384543
WB3,WB2,-49,481601
WB3,WB1,-48,481601
WB2,WB1,-27,384892
WB1,WB2,-18,344443
WB5,WB2,-25,392554
WB5,WB1,-30,392554
WB3,WB2,-51,489612
WB3,WB1,-48,489612
WB4,WB1,-34,504720
WB2,WB1,-18,392901
WB1,WB2,-20,352454
WB5,WB1,-30,400566
WB5,WB2,-25,400566
WB3,WB2,-57,497623
WB3,WB1,-50,497623
WB4,WB1,-36,512729
WB2,WB1,-18,400911
WB1,WB2,-20,360463
WB5,WB2,-23,408578
WB3,WB2,-54,505633
WB3,WB1,-47,505633
WB4,WB1,-36,520741
WB4,WB2,-59,520741
WB2,WB1,-18,408922
WB1,WB2,-18,368471
WB5,WB2,-23,416589
WB5,WB1,-31,416589
WB4,WB1,-34,528752
WB2,WB1,-17,416930
WB1,WB2,-18,376480
WB5,WB2,-25,424599
WB3,WB1,-47,521655
WB3,WB2,-54,521655
WB4,WB1,-34,536763
WB5,WB2,-23,432611
WB3,WB1,-48,529667
WB4,WB2,-59,544774
WB4,WB1,-45,544774
